Timestamp,Symbol,Side,Price,Quantity
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,80835.3,0.0012333774303339498
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,77164.06,0.001279137337360569
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,72695.82,0.0013713369565239721
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,68504,0.0014406977680910071
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,70779.53,0.0014083237837883274
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,71910.01,0.0013723220251160562
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,72394.51,0.0013767691425055437
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,70250,0.0014046095684022905
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,68500,0.001454898692000927
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,66499.95,0.0014836696087447113
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,67292.13,0.0014808655090279249
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,70497.93,0.001399389860135795
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,71000,0.0014033891448815311
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,76499,0.0012894838232358962
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,75950,0.0013117928271712974
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,73300,0.0013456256285323798
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,75381.27,0.0013215577577445653
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,77831.28,0.001267157563585827
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,79461,0.0012535802480074748
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,79100,0.0012467083778262042
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,78728.9,0.0012651107663502637
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,80192.43,0.0012296019864067487
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,80685.26,0.001234312425032924
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,89361.16,0.0011033306947410022
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,88650,0.0011233035516426224
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,101600.01,0.0009703252121194407
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,101133.92,0.0009845450642784652
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,101984.95,0.0009665660742046925
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,102967.93,0.0009669121703908826
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,100100,0.0009846686836182507
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,104800,0.0009499140131916867
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,114392.31,0.0008615568537488567
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,114561.06,0.0008688906464694943
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,109750,0.0008979100059115647
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,109208.21,0.0009113882498420419
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,112344.83,0.0008770832497274627
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,112071.04,0.0008880182272989005
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,111127.17,0.0008866050940523431
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,111050,0.000896093418817802
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,138764.21,0.0007099529656683071
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,144551,0.0006883468328984299
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,139374.98,0.000706771120698119
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,139663.15,0.0007123659527942532
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,140522.31,0.0007009304087784832
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,142589,0.0006976788096746923
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,140037.41,0.0007032871470186263
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,140514.04,0.0007079105807528232
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,136489.93,0.0007214939732456613
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,126998,0.0007831731879459472
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,120197.49,0.0008192085728040727
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,127510,0.000779950453924454
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,127666.01,0.0007712073680074129
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,134546.85,0.0007390848409432784
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,197866.85,0.0004975422707712406
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,197500,0.0005034511041921314
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,316900,0.0003106256773340691
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,319999,0.0003106936269133284
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,285000,0.0003453594155068483
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,298001,0.0003335952152967483
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,323700.03,0.0003040394858045266
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,322658.43,0.0003080711902765749
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,379000,0.0002596510525515626
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,289000,0.00034391635434675657
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,309805.51,0.00031761187250075224
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,295000,0.0003368877533002442
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,318790,0.00030862971972563856
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,311999.79,0.0003185000510251936
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,299700,0.00032825568750250643
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,297783.95,0.00033367148175697916
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,304100,0.0003234738300609889
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,303120.07,0.00032776475552662084
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,303501,0.0003240798378996266
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,302015,0.00032893114723175443
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,315000,0.000312218155640909
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,320100,0.0003103161706252896
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,350999.94,0.0002801678090172427
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,356000,0.0002789951488666671
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,349000,0.0002817451297036337
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,286400,0.0003467609663730232
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,283012.56,0.00034740231091348557
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,292000,0.000340076744983414
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,284899.96,0.0003450663364073667
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,293000,0.0003388821818914791
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,292100,0.0003365270609423531
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,296167.89,0.00033522388279929314
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,274448.74,0.0003581350912589769
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,230211.19,0.00043122413724228326
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,228480,0.00043014660177414496
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,229495.74,0.0004325252160632272
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,229495.74,0.00042819996390259493
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,210019.15,0.0004725891341796084
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,204579.92,0.0004803024684780447
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,212969.93,0.00046599462648464656
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,201301,0.00048807713102758164
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,210000.21,0.0004725372355509219
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,211647.79,0.0004641701645527597
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,189833.02,0.000522685649770747
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,183142.23,0.0005363632705170007
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,162023.33,0.000612338192944822
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,171980.85,0.0005711155769728521
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,141000,0.0007035684524807933
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,153900,0.0006381489297062634
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,159000.04,0.0006238566448449439
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,158211.11,0.00062069787115308
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,156144.07,0.0006352038355440806
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,160540.65,0.0006116300079752311
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,165630.1,0.0005987643177794813
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,185898.76,0.0005281458568736273
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,190510.73,0.0005205138654965221
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,200799.25,0.0004889054203437294
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,204495.45,0.0004848692728528442
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,198973.33,0.0004933426230630156
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,205000.03,0.0004836274647725703
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,199974,0.0004908248489270048
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,196000,0.0005057843388914394
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,184178,0.0005328670803162968
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,193332.19,0.000512712430608063
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,186005.97,0.0005275775765647902
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,178197.99,0.0005562010248711273
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,176451,0.0005560907312585088
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,190999.03,0.0005188717098589878
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,198000.29,0.0004955192406270366
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,202000,0.0004905647667236651
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,210169.93,0.0004667801052671929
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,213947.9,0.0004631229073521757
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,212578,0.00046144630081755214
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,176578,0.0005610793250152655
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,168437.69,0.0005823133907976301
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,181666.67,0.0005453083805963981
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,172900,0.0005672279586453433
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,171954.88,0.0005760490844474881
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,160500,0.0006109900727624605
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,153778,0.000644074872512054
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,154600,0.0006342438569709383
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,152589.6,0.0006490261544075358
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,164801,0.0005949253637883161
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,160510.84,0.0006169348925371961
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,160695.36,0.0006100642261742375
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,146151.75,0.0006774796425815799
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,145500,0.0006737091889975649
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,148730.07,0.0006656685757569881
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,146280.29,0.0006700484701694656
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,125100.01,0.0007913271419862418
1970-01-01 01:00:00 +0100 BST,BTCUSDT,SELL,125788.79,0.000779124141682202
1970-01-01 01:00:00 +0100 BST,BTCUSDT,BUY,126410.67,0.000783044136008556
