timestamp,open,high,low,close,volume
1479686400.0,15486.0,15615.0,15324.01,15486.0,36.88
1479772800.0,15476.0,16131.15,15423.0,16072.99,181.51
1479859200.0,16072.99,16102.08,15250.0,15926.0,255.79
1479945600.0,15671.03,16120.01,15586.23,16019.99,157.76
1480032000.0,15760.03,16019.99,15700.0,15950.5,137.79
1480118400.0,15700.5,15999.99,15653.0,15700.5,55.36
1480204800.0,15653.01,15889.69,15653.01,15755.73,42.2
1480291200.0,15755.73,15845.0,15600.0,15640.0,138.49
1480377600.0,15875.63,15879.68,15615.05,15797.21,129.83
1480464000.0,15869.69,15950.0,15700.24,15750.0,151.3
1480550400.0,15900.0,16148.97,15790.01,15810.24,173.07
1480636800.0,16147.97,16284.0,15904.02,16014.83,212.84
1480723200.0,16014.83,16260.0,16014.83,16156.23,60.4
1480809600.0,16195.0,16262.61,16059.01,16258.83,34.7
1480896000.0,16230.24,16500.0,15951.0,16030.0,164.99
1480982400.0,16071.25,16498.0,15800.0,16035.0,208.94
1481068800.0,16000.0,16280.0,15954.19,16030.01,186.51
1481155200.0,16234.98,16299.99,16050.01,16271.28,127.11
1481241600.0,16072.24,16299.98,16050.0,16100.0,194.38
1481328000.0,16299.98,16325.0,16117.0,16175.0,66.08
1481414400.0,16130.0,16265.0,16100.83,16189.83,29.71
1481500800.0,16180.0,16299.0,16065.01,16194.0,61.84
1481587200.0,16100.0,16427.37,16065.01,16198.83,312.78
1481673600.0,16342.23,16565.32,16111.05,16342.23,314.11
1481760000.0,16574.91,16617.04,16275.0,16376.82,168.61
1481846400.0,16354.23,16631.99,16260.02,16512.0,170.3
1481932800.0,16570.0,16725.0,16472.86,16724.99,78.61
1482019200.0,16676.75,16794.55,16630.1,16633.89,43.76
1482105600.0,16650.17,16998.0,16630.1,16710.01,231.08
1482192000.0,16856.83,16997.0,16700.0,16726.19,187.69
1482278400.0,16750.0,17737.47,16741.01,17737.47,296.5
1482364800.0,17939.0,18898.25,17569.01,17939.0,259.39
1482451200.0,18945.18,21000.0,18550.01,19700.01,376.92
1482537600.0,19842.0,21000.0,19800.0,19842.0,72.11
1482624000.0,19983.0,20248.0,19010.0,19752.04,51.02
1482710400.0,19501.0,20449.5,19501.0,19999.0,139.69
1482796800.0,19900.0,20286.38,19500.0,19912.09,186.84
1482883200.0,20020.23,21046.86,20020.23,20350.23,239.5
1482969600.0,21448.0,22489.7,20750.01,21300.0,234.46
1483056000.0,22489.7,22500.0,20501.0,21600.0,245.25
1483142400.0,21551.58,22149.99,21200.0,21991.0,60.95
1483228800.0,21750.25,22500.0,21577.98,21999.0,60.73
1483315200.0,21901.01,22600.0,21900.2,22488.18,173.24
1483401600.0,22488.18,24374.62,22210.01,22500.0,341.3
1483488000.0,24100.01,29213.57,24057.0,25100.02,477.4
1483574400.0,24400.0,28800.0,20055.28,22270.33,583.13
1483660800.0,23899.99,24398.99,21000.02,23056.1,424.64
1483747200.0,21548.83,22951.85,18500.01,21310.01,274.06
1483833600.0,21697.21,23220.0,21120.0,21786.89,113.58
1483920000.0,21786.89,21800.0,21101.13,21300.25,182.57
1484006400.0,21300.25,21498.97,20500.0,21489.23,265.41
1484092800.0,21489.23,21650.0,17753.0,19480.0,570.32
1484179200.0,19480.0,19628.0,17900.0,19244.22,451.6
1484265600.0,19244.22,19496.0,18500.0,19487.7,229.73
1484352000.0,19487.7,19490.99,19050.0,19339.12,93.14
1484438400.0,19339.12,19354.98,19001.0,19035.0,41.57
1484524800.0,19035.0,19399.0,18900.0,19344.98,244.05
1484611200.0,19344.98,21178.0,19200.0,20649.99,369.79
1484697600.0,20649.99,20900.0,20001.01,20300.0,317.98
