Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume MXN
1605855600.0,2020-11-20 07-AM,ETHMXN,9811.17,9977.3,9803.59,9920.83,67.19,664559.46
1605852000.0,2020-11-20 06-AM,ETHMXN,9814.77,9830.03,9754.08,9811.17,15.5,151819.51
1605848400.0,2020-11-20 05-AM,ETHMXN,9846.67,9851.8,9782.59,9814.77,41.33,405670.82
1605844800.0,2020-11-20 04-AM,ETHMXN,9812.8,9858.98,9750.07,9846.67,145.52,1427726.0
1605841200.0,2020-11-20 03-AM,ETHMXN,9743.42,9868.96,9743.42,9812.8,49.51,486222.17
1605837600.0,2020-11-20 02-AM,ETHMXN,9690,9799.93,9690,9743.42,139.62,1360461.78
1605834000.0,2020-11-20 01-AM,ETHMXN,9562.2,9699.94,9543.44,9690,54.72,526814.67
1605830400.0,2020-11-20 12-AM,ETHMXN,9555.11,9599.68,9555.11,9562.2,54.59,522255.04
1605826800.0,2020-11-19 11-PM,ETHMXN,9541.65,9598.01,9509.99,9555.11,32.48,309902.61
1605823200.0,2020-11-19 10-PM,ETHMXN,9571,9598.09,9532,9541.65,64.79,620363.95
1605819600.0,2020-11-19 09-PM,ETHMXN,9574.9,9593.09,9536.3,9571,56.93,544327.88
1605816000.0,2020-11-19 08-PM,ETHMXN,9550.75,9587.45,9550.67,9574.9,18.24,174624.2
1605812400.0,2020-11-19 07-PM,ETHMXN,9524.8,9580.17,9520,9550.75,158.22,1511132.48
1605808800.0,2020-11-19 06-PM,ETHMXN,9590.89,9638.67,9524.8,9524.8,131.86,1258710.57
1605805200.0,2020-11-19 05-PM,ETHMXN,9598.3,9615.28,9570,9590.89,43.21,414836.99
1605801600.0,2020-11-19 04-PM,ETHMXN,9642.64,9642.64,9558.37,9598.3,81.06,779255.58
1605798000.0,2020-11-19 03-PM,ETHMXN,9664.4,9684.17,9602.83,9642.64,136.44,1317843.17
