Created on 11-22-2020,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume MXN
1605830400.0,2020-11-20,ETHMXN,9555.11,9868.96,9543.44,9780.24,499.32,4866519.35
1605744000.0,2020-11-19,ETHMXN,9755,9794.9,9508.33,9555.11,1039.12,9980970.75
1605657600.0,2020-11-18,ETHMXN,9770.77,10051.56,9367.13,9755,2979.0,28915161.27
1605571200.0,2020-11-17,ETHMXN,9329.21,9849.96,9050,9770.77,2598.47,25103585.95
1605484800.0,2020-11-16,ETHMXN,9144.83,9650,9096.27,9329.21,1756.14,16418175.31
1605398400.0,2020-11-15,ETHMXN,9427.35,9468.04,9029,9144.83,692.2,6376452.45
1605312000.0,2020-11-14,ETHMXN,9749.26,9750,9251,9427.35,822.31,7783568.46
1605225600.0,2020-11-13,ETHMXN,9522.22,9749.99,9430,9749.26,1321.28,12691337.12
1605139200.0,2020-11-12,ETHMXN,9480.14,9601.51,9250.01,9522.22,838.17,7903726.5
1605052800.0,2020-11-11,ETHMXN,9175.26,9761.91,9141.08,9480.14,1627.86,15522640.5
1604966400.0,2020-11-10,ETHMXN,9017.22,9234.69,8942.58,9175.26,948.07,8621442.93
1604880000.0,2020-11-09,ETHMXN,9310.01,9384.26,8838.54,9017.22,997.03,9049702.39
1604793600.0,2020-11-08,ETHMXN,8927.57,9448.97,8880.4,9310.01,1007.67,9309687.81
1604707200.0,2020-11-07,ETHMXN,9375.92,9653.15,8659.22,8927.57,2511.86,23010986.46
1604620800.0,2020-11-06,ETHMXN,8644.11,9430,8622.34,9375.92,3023.96,27419183.36
1604534400.0,2020-11-05,ETHMXN,8420.31,8710.15,8268.92,8644.11,2065.5,17650788.44
1604448000.0,2020-11-04,ETHMXN,8161.66,8585,8050,8420.31,1421.34,11855973.13
1604361600.0,2020-11-03,ETHMXN,8214.23,8249.97,7917.05,8161.66,920.02,7426284.24
1604275200.0,2020-11-02,ETHMXN,8450,8600,8050,8214.23,848.11,7091235.61
1604188800.0,2020-11-01,ETHMXN,8195.1,8450,8166.84,8450,385.59,3219575.77
1604102400.0,2020-10-31,ETHMXN,8111.6,8349.79,8100,8195.1,588.0,4829495.68
1604016000.0,2020-10-30,ETHMXN,8294.15,8382.46,8015.71,8111.6,890.27,7249015.69
1603929600.0,2020-10-29,ETHMXN,8268.27,8433.62,8164.35,8294.15,687.79,5715626.72
1603843200.0,2020-10-28,ETHMXN,8505.86,8603.59,7992.78,8268.27,1404.92,11559776.07
1603756800.0,2020-10-27,ETHMXN,8247.14,8720,8180,8505.86,1410.19,11882424.42
1603670400.0,2020-10-26,ETHMXN,8498.71,8600,8034.43,8247.14,1160.12,9605914.23
1603584000.0,2020-10-25,ETHMXN,8611.44,8692.63,8410.4,8498.71,343.45,2933581.34
1603497600.0,2020-10-24,ETHMXN,8531.69,8698.17,8493.19,8611.44,405.91,3495524.29
1603411200.0,2020-10-23,ETHMXN,8689.56,8767.24,8370.2,8531.69,1988.35,17005339.13
1603324800.0,2020-10-22,ETHMXN,8296.69,8840,8280.77,8689.56,1906.36,16448984.26
1603238400.0,2020-10-21,ETHMXN,7790.55,8471.17,7765,8296.69,2443.18,20106925.62
1603152000.0,2020-10-20,ETHMXN,8052.99,8075.55,7750.54,7790.55,575.5,4527288.54
1603065600.0,2020-10-19,ETHMXN,7982.89,8117.5,7900,8052.99,750.21,6013650.93
1602979200.0,2020-10-18,ETHMXN,7824.68,8000,7785.89,7982.89,172.07,1362261.64
1602892800.0,2020-10-17,ETHMXN,7755.3,7847.78,7717,7824.68,198.64,1544622.17
1602806400.0,2020-10-16,ETHMXN,8043.78,8113.42,7711.36,7755.3,681.47,5363007.85
1602720000.0,2020-10-15,ETHMXN,8088.34,8150,7982.8,8043.78,458.74,3701372.1
1602633600.0,2020-10-14,ETHMXN,8139.08,8241.36,7977.95,8088.34,499.24,4040027.97
1602547200.0,2020-10-13,ETHMXN,8195.38,8224.27,8007.82,8139.08,683.11,5541080.29
1602460800.0,2020-10-12,ETHMXN,7909.67,8350,7761.78,8195.38,1932.12,15622389.56
1602374400.0,2020-10-11,ETHMXN,7818.35,7949.99,7785,7909.67,367.08,2885191.89
1602288000.0,2020-10-10,ETHMXN,7732.96,7994.99,7715.5,7818.35,691.2,5457741.7
1602201600.0,2020-10-09,ETHMXN,7519.28,7789.98,7438.01,7732.96,649.63,4969587.8
1602115200.0,2020-10-08,ETHMXN,7363.84,7572.9,7192.33,7519.28,646.48,4800365.71
1602028800.0,2020-10-07,ETHMXN,7419.25,7419.25,7240.57,7363.84,685.53,5021347.16
1601942400.0,2020-10-06,ETHMXN,7574.86,7613.33,7325,7419.25,970.87,7217406.86
1601856000.0,2020-10-05,ETHMXN,7633.63,7680,7510,7574.86,428.06,3237735.24
1601769600.0,2020-10-04,ETHMXN,7513.24,7686.95,7460.02,7633.63,218.92,1655288.56
1601683200.0,2020-10-03,ETHMXN,7499.9,7629.91,7458.77,7513.24,444.54,3355962.64
1601596800.0,2020-10-02,ETHMXN,7730.21,7771.42,7381.25,7499.9,1070.88,8076232.06
1601510400.0,2020-10-01,ETHMXN,7947.93,8097.67,7600,7730.21,1356.29,10613498.72
1601424000.0,2020-09-30,ETHMXN,8059.06,8059.06,7856.2,7947.93,519.46,4117983.14
1601337600.0,2020-09-29,ETHMXN,7943.48,8067.08,7860,8059.06,828.42,6592742.91
1601251200.0,2020-09-28,ETHMXN,7970.65,8290,7900,7943.48,1230.23,9968035.42
1601164800.0,2020-09-27,ETHMXN,7940.47,8100.98,7802.75,7970.65,716.5,5700898.77
1601078400.0,2020-09-26,ETHMXN,7854.48,7976.64,7771.72,7940.47,447.65,3530491.34
1600992000.0,2020-09-25,ETHMXN,7722.11,7999,7485.04,7854.48,826.45,6432075.52
1600905600.0,2020-09-24,ETHMXN,7186.88,7800,7115.97,7722.11,1411.1,10726840.06
1600819200.0,2020-09-23,ETHMXN,7489.91,7586.46,7033.03,7186.88,839.48,6157653.86
